wikiSchool,status,candidateIds,candidateNames,confirmedTeamId
Elon University,suggested,2210,Elon,2210
Erskine College,suggested,101784,Erskine,101784
Evangel University,unmatched,,,NEW
University of Evansville,unmatched,,,NEW
Fayetteville State University,suggested,2220,Fayetteville State,2220
Ferris State University,suggested,2222,Ferris State,2222
University of Findlay,suggested,2224,Findlay,2224
Fisk University,unmatched,,,NEW
University of Florida,suggested,57,Florida,57
Florida A&M University,suggested,50,Florida A&M,50
Florida Atlantic University,suggested,2226,Florida Atlantic,2226
Florida Institute of Technology,unmatched,,,NEW
Florida International University,suggested,2229,Florida International,2229
Florida Memorial University,unmatched,,,NEW
Florida State University,suggested,52,Florida State,52
Fordham University,suggested,2230,Fordham,2230
Fort Hays State University,suggested,2231,Fort Hays State,2231
Fort Valley State University,suggested,2232,Fort Valley State,2232
Franklin Pierce University,suggested,112334,Franklin Pierce,112334
"California State University, Fresno",suggested,278,Fresno State,278
Frostburg State University,suggested,341,Frostburg State,341
Furman University,suggested,231,Furman,231
Garden City Community College,unmatched,,,NEW
Gardner–Webb University,suggested,2241,Gardner-Webb,2241
George Washington University,unmatched,,,NEW
Georgetown University,suggested,46,Georgetown,46
University of Georgia,suggested,61,Georgia,61
Georgia Southern University,suggested,290,Georgia Southern,290
Georgia State University,suggested,2247,Georgia State,2247
Georgia Institute of Technology,unmatched,,,59
Graceland University,unmatched,,,NEW
Grambling State University,suggested,2755,Grambling,2755
Gonzaga University,unmatched,,,NEW
University of Guelph,unmatched,,,
Gustavus Adolphus College,suggested,2968,Gustavus Adolphus,2968
Hampden–Sydney College,suggested,297,Hampden-Sydney,297
Hampton University,suggested,2261,Hampton,2261
Hardin–Simmons University,suggested,2810,Hardin-Simmons,2810
Harvard University,suggested,108,Harvard,108
University of Hawaiʻi at Mānoa,unmatched,,,NEW
Heidelberg University (Ohio),suggested,191,Heidelberg,191
Henderson State University,suggested,2271,Henderson State,2271
Hillsdale College,suggested,2273,Hillsdale,2273
Hobart and William Smith Colleges,unmatched,,,174
Hofstra University,unmatched,,, NEW
College of the Holy Cross,unmatched,,,107
University of Houston,suggested,248,Houston,248
Houston Christian University,suggested,2277,Houston Christian,2277
Howard University,suggested,47,Howard,47
Howard Payne University,suggested,2758,Howard Payne,2758
Humboldt State University,unmatched,,,NEW
University of Idaho,suggested,70,Idaho,70
Idaho State University,suggested,304,Idaho State,304
Indiana University Bloomington,unmatched,,,84
Indiana State University,suggested,282,Indiana State,282
Indiana University of Pennsylvania,suggested,2291,Indiana-Pennsylvania,2291
University of Illinois at Urbana–Champaign,unmatched,,,356
Illinois State University,suggested,2287,Illinois State,2287
University of the Incarnate Word,unmatched,,,2916
Indiana Wesleyan University,unmatched,,,NEW
University of Iowa,suggested,2294,Iowa,2294
Iowa State University,suggested,66,Iowa State,66
Itawamba Community College,unmatched,,,NEW
Monterrey Institute of Technology and Higher Education,unmatched,,,
Jackson State University,suggested,2296,Jackson State,2296
Jacksonville University,unmatched,,,NEW
Jacksonville State University,suggested,55,Jacksonville State,55
James Madison University,suggested,256,James Madison,256
University of Jamestown,unmatched,,,NEW
Johnson C. Smith University,suggested,2304,Johnson C Smith,2304
Judson University,unmatched,,,NEW
University of Kansas,suggested,2305,Kansas,2305
Kansas State University,suggested,2306,Kansas State,2306
Kennesaw State University,suggested,338,Kennesaw State,338
Kent State University,suggested,2309,Kent State,2309
University of Kentucky,suggested,96,Kentucky,96
Kentucky State University,suggested,2310,Kentucky State,2310
Kentucky Wesleyan College,suggested,2316,Kentucky Wesleyan,2316
Keystone College,suggested,122774,Keystone,122774
Knoxville College,unmatched,,,NEW
La Salle University,unmatched,,,NEW
Lafayette College,suggested,322,Lafayette,322
Lamar University,suggested,2320,Lamar,2320
Lambuth University,unmatched,,,NEW
Langston University,unmatched,,,NEW
Laval University,unmatched,,,
Lawrence Technological University,unmatched,,,NEW
Lehigh University,suggested,2329,Lehigh,2329
Lenoir–Rhyne University,suggested,2331,Lenoir-Rhyne,2331
Liberty University,suggested,2335,Liberty,2335
Limestone University,suggested,2336,Limestone,2336
Lindenwood University,suggested,2815,Lindenwood,2815
Linfield University,suggested,203,Linfield College,203
Livingstone College,suggested,2940,Livingstone,2940
University of Louisiana at Lafayette,unmatched,,,309
University of Louisiana at Monroe,unmatched,,,2433
Louisiana State University,suggested,99,LSU,99
Louisiana Tech University,suggested,2348,Louisiana Tech,2348
University of Louisville,suggested,97,Louisville,97
Loyola Marymount University,unmatched,,,NEW
Macalester College,suggested,2359,Macalester,2359
Madonna University,unmatched,,,NEW
Marquette University,unmatched,,,NEW
Mars Hill University,suggested,2369,Mars Hill,2369
Marshall University,suggested,276,Marshall,276
University of Mary Hardin–Baylor,suggested,2371,Mary Hardin-Baylor,2371
"University of Maryland, College Park",unmatched,,,120
University of Maine,suggested,311,Maine,311
University of Manitoba,unmatched,,,
Marian University (Indiana),unmatched,,,NEW
Marist University,suggested,2368,Marist,2368
University of Massachusetts Amherst,unmatched,,,113
McGill University,unmatched,,,
McMaster University,unmatched,,,
McNeese State University,unmatched,,,2377
University of Memphis,suggested,235,Memphis,235
Menlo College,unmatched,,,NEW
Mercer University,suggested,2382,Mercer,2382
Mercyhurst University,suggested,2385,Mercyhurst,2385
Merrimack College,suggested,2771,Merrimack,2771
Miami University,ambiguous,193; 2390,Miami (OH); Miami,193
University of Miami,ambiguous,193; 2390,Miami (OH); Miami,2390
University of Michigan,suggested,130,Michigan,130
Michigan State University,suggested,127,Michigan State,127
Michigan Technological University,unmatched,,,2392
Middle Tennessee State University,suggested,2393,Middle Tennessee,2393
Midwestern State University,suggested,2395,Midwestern State,2395
Millersville University,suggested,210,Millersville,210
Milton College,unmatched,,,NEW
University of Minnesota,suggested,135,Minnesota,135
University of Minnesota Duluth,suggested,134,Minnesota Duluth,134
Minnesota State University,unmatched,,,2364
University of Mississippi,suggested,2401,Mississippi College,145
Mississippi Delta Community College,unmatched,,,NEW
Mississippi State University,suggested,344,Mississippi State,322
Mississippi Valley State University,suggested,2400,Mississippi Valley State,2320
University of Missouri,suggested,142,Missouri,2329
Missouri University of Science and Technology,unmatched,,,NEW
Missouri Southern State University,suggested,2403,Missouri Southern State,2331
Missouri State University,suggested,2623,Missouri State,2335
Missouri Western State University,unmatched,,,137
Monmouth College,ambiguous,2405; 2919,Monmouth; Monmouth (IL),2919
Monmouth University,ambiguous,2405; 2919,Monmouth; Monmouth (IL),2405
University of Montana – Missoula,unmatched,,,149
Montana State University,suggested,147,Montana State,2336
Montana State University Billings,unmatched,,,NEW
Montclair State University,suggested,2818,Montclair State,2815
Morehead State University,suggested,2413,Morehead State,203
Morgan State University,suggested,2415,Morgan State,2940
Morningside University,unmatched,,,NEW
Morris Brown College,unmatched,,,NEW
Mount Allison University,unmatched,,,NEW
Mount Senario College,unmatched,,,NEW
Mount Marty University,unmatched,,,NEW
Mt. San Antonio College,unmatched,,,NEW
Murray State University,suggested,93,Murray State,99
United States Naval Academy,suggested,2426,Navy,2348
University of Nebraska–Lincoln,unmatched,,,158
University of Nebraska Omaha,unmatched,,,NEW
"University of Nevada, Reno",unmatched,,,2440
"University of Nevada, Las Vegas",suggested,2439,UNLV,97
University of New Hampshire,suggested,160,New Hampshire,2359
University of New Haven,suggested,2441,New Haven,2369
University of New Mexico,suggested,167,New Mexico,276
New Mexico Highlands University,suggested,2424,New Mexico Highlands,2371
New Mexico State University,suggested,166,New Mexico State,311
New York University,unmatched,,,NEW
Newberry College,suggested,2444,Newberry,2368
Nicholls State University,unmatched,,,2447
Norfolk State University,suggested,2450,Norfolk State,235
University of North Alabama,suggested,2453,North Alabama,2382
University of North Carolina at Chapel Hill,unmatched,,,153
North Carolina Agricultural and Technical State University,unmatched,,,2448
North Carolina Central University,suggested,2428,North Carolina Central,2385
North Carolina State University,unmatched,,,152
University of North Dakota,suggested,155,North Dakota,2771
North Dakota State University,suggested,2449,North Dakota State,130
North Park University,suggested,75,North Park,127
University of North Texas,suggested,249,North Texas,2393
Northeastern University,unmatched,,,NEW
Northeastern State University,suggested,196,Northeastern State,2395
Northern Arizona University,suggested,2464,Northern Arizona,210
University of Northern Colorado,suggested,2458,Northern Colorado,135
Northern Illinois University,suggested,2459,Northern Illinois,134
University of Northern Iowa,suggested,2460,Northern Iowa,2460
